pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
Kepler-1957 b,Kepler-1957,Transit,1,2.186619997,0.0299,0.94374867,0.79,5.16,0.0,1099.0,345.07,4904.0,0.772,0.745,0.0,4.535,460.899,1,1
Kepler-1711 b,Kepler-1711,Transit,1,21.06080055,0.1463,1.923,4.36,3.37,0.0,669.0,47.39,5706.0,1.034,0.94,0.0,4.382,590.268,1,1
Kepler-1888 b,Kepler-1888,Transit,1,11.39169979,0.0956,1.32578716,2.32,5.47,0.0,886.0,145.67,5557.0,1.249,0.897,0.0,4.198,402.947,1,1
Kepler-1959 b,Kepler-1959,Transit,1,6.38669014,0.0617,1.14315727,1.57,5.78,0.0,811.0,102.25,5071.0,0.811,0.768,-0.02,4.505,479.263,1,1
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,Microlensing,0,,1.064,2.37,6.228,2.57,,,,,,0.195,,,773.0,1,1
b Cen AB b,b Cen A,Imaging,0,1790000.0,556.0,12.4,3464.3296363,9.98,0.4,,,,,5.5,,,98.0935,2,1
Kepler-1890 b,Kepler-1890,Transit,1,4.820590019,0.05712,0.86867375,0.587,4.92,0.0,1328.0,493.0,6046.0,1.396,1.024,-0.16,4.158,529.596,1,1
Kepler-1892 b,Kepler-1892,Transit,1,6.331230164,0.0633,1.83707938,4.03,3.57,0.0,822.0,108.04,5383.0,0.759,0.851,-0.22,4.603,851.595,1,1
K2-317 b,K2-317,Transit,1,6.22,0.0542,2.93,8.91,1.95,,432.0,,3387.0,0.379,0.403,,4.885,176.291,1,1
K2-396 b,K2-396,Transit,1,0.673862,,1.579,3.12,4.35,,,,5236.0,0.92,0.954,0.237,4.488,274.864,1,2
K2-397 b,K2-397,Transit,1,3.572326,,2.417,6.42,2.5,,,,5387.0,0.966,0.937,0.11,4.435,199.354,1,1
K2-319 b,K2-319,Transit,1,26.68,0.1516,2.79,8.2,2.07,,641.0,,5440.0,0.898,0.954,,4.512,209.071,1,1
HD 174205 b,HD 174205,Radial Velocity,0,582.0,1.7,13.0,1334.8793094,3.34,0.4,,,4308.0,26.6,1.8,-0.28,1.8,234.027,1,1
K2-400 b,K2-400,Transit,1,3.865053,,1.163,1.67,5.83,,,,3578.0,0.382,0.374,-0.051,4.847,62.3804,1,1
K2-322 b,K2-322,Transit,1,8.205,0.0594,1.92,4.35,3.38,,635.0,,4141.0,0.602,0.63,,4.677,123.415,1,1
HD 106252 b,HD 106252,Radial Velocity,0,1535.0,2.655,12.5,3178.28407,8.94,0.48,,,5874.0,1.05,1.05,-0.06,4.36,38.185,1,1
KELT-14 b,KELT-14,Transit,1,1.7100566,0.03005,19.537287,408.09372,0.322,0.0,1970.0,826.113,5720.0,1.52,1.239,0.32,4.166,250.121,1,1
K2-402 b,K2-402,Transit,1,17.27474,,2.678,7.65,2.19,,,,5716.0,1.28,0.944,-0.378,4.197,523.055,1,1
K2-324 b,K2-324,Transit,1,3.262,0.0331,2.43,6.48,2.48,,707.0,,3752.0,0.505,0.517,,4.743,136.667,1,1
HD 171238 b,HD 171238,Radial Velocity,0,1515.0,2.518,12.5,2796.8899816,7.87,0.358,,,5467.0,1.01,0.92,0.2,4.43,44.8113,1,1
HD 81040 b,HD 81040,Radial Velocity,0,1002.7,1.946,12.6,2301.07766668,6.32,0.525,,,5755.0,0.91,0.99,-0.04,4.54,34.4341,1,1
Kepler-167 e,Kepler-167,Transit,1,1071.23205,1.883,10.16,321.00669107,1.68,0.29,134.4,0.1,4884.0,0.749,0.777,0.02,4.579,341.908,2,4
HD 140901 c,HD 140901,Radial Velocity,0,14386.0,11.8,13.4,572.0911326,1.31,0.77,,,5610.0,0.95,1.06,0.0859,4.46,15.2528,1,2
K2-404 b,K2-404,Transit,1,13.115365,,2.53,6.94,2.35,,,,3748.0,0.552,0.552,0.005,4.695,121.63,1,1
K2-326 b,K2-326,Transit,1,1.256,0.0198,2.28,5.82,2.7,,1114.0,,3924.0,0.688,0.507,,4.462,282.308,1,1
HD 181433 d,HD 181433,Radial Velocity,0,6896.1,6.74,13.2,858.1366989,2.05,0.444,,,4918.0,0.79,0.86,0.4012,4.45,26.8762,1,3
K2-407 b,K2-407,Transit,1,4.941907,,1.283,2.19,5.7,,,,5563.0,0.927,0.881,0.014,4.45,218.376,1,2
K2-407 c,K2-407,Transit,1,9.22453,,1.36,2.42,5.29,,,,5563.0,0.927,0.881,0.014,4.45,218.376,1,2
HD 29021 b,HD 29021,Radial Velocity,0,1365.0,2.294,12.9,1420.69297929,3.64,0.453,,,5560.0,0.85,0.86,-0.3,4.44,30.9939,1,1
K2-408 b,K2-408,Transit,1,20.978959,,1.677,3.45,4.02,,,,5335.0,0.784,0.813,-0.171,4.559,162.306,1,1
Ross 508 b,Ross 508,Radial Velocity,0,10.77,0.05366,1.83,4.0,3.59,0.33,,,3071.0,0.2113,0.1774,-0.2,5.039,11.2103,1,1
HD 83443 b,HD 83443,Radial Velocity,0,2.985628,0.0406,14.1,127.76701961,0.25,0.012,,,5442.0,0.94,1.0,0.34,4.39,40.8991,1,2
K2-374 c,K2-374,Transit,1,16.43445,,2.213,5.53,2.8,,,,5789.0,0.907,0.731,-0.292,4.386,359.439,1,2
K2-374 b,K2-374,Transit,1,4.521953,,1.593,3.16,4.3,,,,5789.0,0.907,0.731,-0.292,4.386,359.439,1,2
HD 83443 c,HD 83443,Radial Velocity,0,8241.0,8.0,13.6,476.7426105,1.04,0.76,,,5442.0,0.94,1.0,0.34,4.39,40.8991,1,2
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,Microlensing,0,,3.5,3.35,11.2,1.64,,,,5200.0,,0.78,,,4600.0,1,1
K2-384 b,K2-384,Transit,1,2.231527,,1.076,1.26,5.56,,,,3623.0,0.348,0.33,0.068,4.874,82.6603,1,5
iot Dra c,iot Dra,Radial Velocity,0,25000.0,19.4,12.2,4958.1231492,15.0,0.455,,,4504.0,11.79,1.54,0.03,2.48,31.32832,1,2
